EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
13.136,9.538,-7.469,3.755,-11.157,-16.879,5.286,-26.708,-0.022,1.011,-0.140,-2.136,-1.648,1.160,73.333,30777.000,1.000
10.425,4.750,-14.549,-2.304,-17.645,-18.703,4.134,-19.778,-0.022,1.010,-0.139,-2.136,-1.556,1.251,73.333,30778.000,1.000
7.245,-0.086,-21.127,-8.020,-23.032,-20.163,2.707,-11.912,-0.024,1.010,-0.140,-2.136,-1.465,1.343,73.333,30779.000,1.000
3.345,-5.210,-26.541,-12.294,-26.304,-21.974,-0.677,-4.704,-0.021,1.011,-0.142,-2.045,-1.526,1.373,73.333,30780.000,1.000
-0.674,-9.755,-30.108,-14.444,-27.078,-23.766,-5.704,1.023,-0.024,1.012,-0.142,-2.167,-1.373,1.404,73.333,30781.000,1.000
-3.432,-11.979,-31.004,-14.152,-25.392,-24.130,-9.943,5.709,-0.024,1.012,-0.143,-2.167,-1.312,1.465,73.333,30782.000,1.000
-4.000,-11.044,-28.571,-11.619,-21.620,-21.887,-11.528,10.389,-0.024,1.010,-0.141,-2.106,-1.312,1.434,73.333,30783.000,1.000
-2.668,-7.965,-22.716,-7.602,-16.414,-17.047,-11.100,15.548,-0.022,1.008,-0.143,-2.075,-1.373,1.434,73.333,30784.000,1.000
-0.591,-4.643,-14.248,-3.280,-10.688,-10.476,-10.682,20.563,-0.021,1.006,-0.141,-1.984,-1.251,1.373,73.333,30785.000,1.000
1.093,-2.329,-4.929,-0.052,-5.610,-2.999,-11.162,24.164,-0.023,1.003,-0.142,-1.923,-1.099,1.282,73.333,30786.000,1.000
1.678,-1.301,3.130,0.897,-2.328,4.723,-11.717,25.202,-0.025,1.004,-0.140,-1.892,-1.129,1.190,73.333,30787.000,1.000
0.803,-1.557,8.596,-0.720,-1.288,11.839,-11.502,23.339,-0.026,1.003,-0.140,-1.923,-1.068,1.190,73.333,30788.000,1.000
